country,cnt_per_country_and_6h,pageviews,bounce_rate,Chrome,Safari,Firefox,desktop,mobile,tablet,Macintosh,Windows,Android,iOS,Linux,anomaly_labels,anomaly_scores
India,20,43,0.55,80,15,5,75,20,5,15,50,20,5,0,1,0.078265453
India,9,19,0.556,66.667,33.333,0,77.778,11.111,11.111,44.444,33.333,11.111,11.111,0,-1,-0.032444083
India,15,37,0.667,93.333,0,6.667,100,0,0,6.667,73.333,0,0,20,-1,-0.047315347
India,39,125,0.641,64.103,17.949,7.692,87.179,12.821,0,23.077,61.538,10.256,0,2.564,1,0.082639913
India,28,51,0.679,82.143,14.286,0,85.714,14.286,0,10.714,64.286,10.714,3.571,7.143,1,0.077886983
India,9,25,0.444,55.556,33.333,0,88.889,11.111,0,33.333,33.333,0,0,11.111,1,0.017822415
India,29,67,0.655,72.414,10.345,13.793,82.759,13.793,3.448,6.897,75.862,13.793,3.448,0,1,0.020281248
India,61,179,0.607,70.492,16.393,9.836,86.885,11.475,1.639,19.672,62.295,13.115,0,3.279,1,0.031163021
India,27,48,0.778,48.148,44.444,7.407,74.074,22.222,3.704,40.741,33.333,22.222,3.704,0,-1,-0.010803627
India,12,52,0.5,66.667,8.333,0,75,25,0,16.667,50,25,0,8.333,1,0.096422446
India,14,39,0.643,64.286,21.429,14.286,85.714,7.143,7.143,14.286,71.429,7.143,7.143,0,-1,-0.029059112
India,46,88,0.761,67.391,21.739,8.696,93.478,6.522,0,21.739,67.391,4.348,2.174,4.348,1,0.02330021
India,37,89,0.622,72.973,24.324,2.703,94.595,5.405,0,27.027,59.459,5.405,0,5.405,1,0.059085021
India,9,25,0.778,55.556,33.333,0,77.778,22.222,0,22.222,22.222,11.111,11.111,22.222,-1,-0.006544436
India,23,42,0.696,82.609,8.696,0,78.261,21.739,0,17.391,52.174,21.739,0,4.348,1,0.104392623
India,26,61,0.538,73.077,19.231,3.846,76.923,19.231,3.846,15.385,61.538,19.231,3.846,0,1,0.069167866
India,21,64,0.667,76.19,14.286,4.762,76.19,19.048,4.762,14.286,52.381,19.048,4.762,4.762,1,0.084400742
India,11,34,0.818,54.545,27.273,0,72.727,27.273,0,27.273,36.364,27.273,0,9.091,1,0.05490464
India,20,54,0.5,60,30,5,70,25,5,15,55,15,15,0,1,0.046387818
India,40,88,0.6,55,37.5,5,57.5,30,12.5,25,27.5,27.5,15,0,-1,-0.034570795
India,22,27,0.909,63.636,22.727,9.091,90.909,9.091,0,27.273,59.091,9.091,0,4.545,1,0.042438373
India,11,46,0.636,72.727,27.273,0,90.909,9.091,0,27.273,63.636,9.091,0,0,1,0.068990628
India,20,59,0.65,65,20,10,90,10,0,30,50,10,0,5,1,0.074042292
India,33,63,0.697,78.788,12.121,0,78.788,21.212,0,18.182,54.545,18.182,3.03,3.03,1,0.102856194
India,16,132,0.375,62.5,25,0,75,25,0,25,37.5,25,0,12.5,1,0.059522388
India,11,27,0.727,36.364,54.545,9.091,90.909,9.091,0,54.545,36.364,9.091,0,0,-1,-0.052469648
India,22,57,0.682,45.455,31.818,0,63.636,31.818,4.545,22.727,31.818,22.727,9.091,9.091,1,0.028361235
India,24,62,0.583,62.5,16.667,4.167,70.833,29.167,0,20.833,50,25,0,0,1,0.103338688
India,21,28,0.762,57.143,19.048,19.048,71.429,28.571,0,19.048,57.143,23.81,0,0,1,0.02530626
India,14,41,0.857,50,21.429,0,71.429,28.571,0,21.429,42.857,14.286,0,7.143,1,0.045518622
India,29,70,0.621,65.517,20.69,3.448,79.31,17.241,3.448,27.586,48.276,13.793,3.448,0,1,0.073773866
India,40,131,0.55,67.5,20,7.5,87.5,7.5,5,30,52.5,7.5,5,5,1,0.040430297
India,34,99,0.471,61.765,29.412,2.941,76.471,20.588,2.941,26.471,44.118,17.647,2.941,5.882,1,0.074241479
India,4,4,1,100,0,0,75,25,0,0,75,25,0,0,-1,-0.003461909
India,24,134,0.458,66.667,12.5,16.667,75,25,0,45.833,29.167,25,0,0,-1,-0.004181523
India,39,104,0.615,82.051,7.692,2.564,87.179,12.821,0,20.513,56.41,12.821,0,5.128,1,0.101226056
India,34,136,0.676,55.882,32.353,8.824,67.647,32.353,0,35.294,32.353,32.353,0,0,1,0.044510924
India,7,17,0.571,57.143,42.857,0,85.714,14.286,0,42.857,42.857,14.286,0,0,1,0.026891308
India,27,78,0.593,96.296,3.704,0,88.889,11.111,0,18.519,66.667,11.111,0,3.704,1,0.050547494
India,52,146,0.596,78.846,9.615,5.769,82.692,11.538,5.769,19.231,53.846,15.385,1.923,9.615,1,0.0364639
India,31,78,0.677,54.839,25.806,12.903,87.097,9.677,3.226,32.258,48.387,12.903,0,6.452,1,0.026024918
India,10,25,0.5,30,40,0,80,20,0,40,10,10,10,30,-1,-0.056888316
India,20,42,0.8,65,30,5,90,10,0,40,50,10,0,0,1,0.043138175
India,37,86,0.622,72.973,10.811,10.811,94.595,5.405,0,16.216,67.568,5.405,0,10.811,1,0.042610645
India,35,56,0.657,65.714,28.571,2.857,85.714,14.286,0,34.286,37.143,11.429,2.857,0,1,0.085810263
India,8,24,0.5,62.5,25,12.5,75,25,0,25,25,25,0,0,1,0.047339807
India,19,83,0.526,47.368,36.842,15.789,63.158,36.842,0,15.789,47.368,15.789,21.053,0,-1,-0.024693153
India,30,87,0.567,66.667,23.333,3.333,80,16.667,3.333,23.333,53.333,16.667,3.333,3.333,1,0.081994283
India,26,45,0.654,53.846,15.385,3.846,69.231,26.923,3.846,19.231,42.308,23.077,0,7.692,1,0.056865685
India,4,4,1,75,25,0,100,0,0,25,75,0,0,0,-1,-0.034258013
India,18,35,0.5,72.222,16.667,0,50,38.889,11.111,11.111,33.333,38.889,5.556,5.556,1,0.039328347
India,30,59,0.7,70,16.667,3.333,53.333,46.667,0,10,36.667,36.667,6.667,6.667,1,0.112722877
India,27,42,0.704,44.444,44.444,0,66.667,33.333,0,37.037,22.222,18.519,7.407,7.407,1,0.009976135
India,8,10,0.75,50,25,12.5,62.5,37.5,0,37.5,12.5,25,12.5,12.5,-1,-0.044310837
India,14,32,0.643,64.286,28.571,0,78.571,21.429,0,35.714,42.857,21.429,0,0,1,0.081309087
India,30,69,0.6,56.667,26.667,10,90,10,0,30,43.333,10,0,13.333,1,0.053829466
India,23,42,0.739,60.87,17.391,8.696,86.957,13.043,0,21.739,56.522,13.043,0,8.696,1,0.069620728
India,7,12,0.857,57.143,42.857,0,85.714,14.286,0,42.857,28.571,14.286,0,14.286,-1,-0.015909177
India,70,122,0.714,91.429,5.714,0,88.571,11.429,0,67.143,18.571,11.429,0,2.857,-1,-0.020025069
India,76,150,0.684,72.368,23.684,2.632,92.105,7.895,0,43.421,40.789,3.947,3.947,7.895,-1,-0.005550912
India,21,55,0.524,61.905,14.286,9.524,76.19,23.81,0,23.81,47.619,23.81,0,4.762,1,0.086393273
India,12,39,0.75,41.667,33.333,8.333,75,25,0,33.333,16.667,16.667,8.333,25,-1,-0.022553239
India,34,101,0.647,70.588,17.647,8.824,94.118,5.882,0,41.176,41.176,5.882,0,8.824,1,0.027316961
India,36,90,0.5,61.111,25,8.333,83.333,16.667,0,36.111,44.444,16.667,0,2.778,1,0.08644118
India,22,56,0.545,54.545,31.818,9.091,63.636,36.364,0,22.727,40.909,27.273,9.091,0,1,0.072663626
India,9,12,0.778,55.556,22.222,11.111,44.444,55.556,0,22.222,22.222,55.556,0,0,1,0.020182582
India,28,100,0.5,78.571,14.286,3.571,82.143,14.286,3.571,25,53.571,10.714,3.571,0,1,0.061733895
India,41,50,0.78,60.976,26.829,2.439,75.61,24.39,0,24.39,46.341,17.073,7.317,4.878,1,0.076608929
India,25,66,0.68,68,20,8,88,12,0,24,60,12,0,4,1,0.080439883
India,6,18,0.333,83.333,16.667,0,66.667,33.333,0,16.667,33.333,33.333,0,16.667,1,0.049818546
India,31,57,0.677,77.419,12.903,3.226,74.194,25.806,0,19.355,45.161,25.806,0,3.226,1,0.10830216
India,49,111,0.673,65.306,26.531,4.082,77.551,22.449,0,34.694,38.776,20.408,2.041,4.082,1,0.085017801
India,23,45,0.739,73.913,21.739,4.348,78.261,21.739,0,30.435,47.826,21.739,0,0,1,0.088102829
India,7,28,0.429,85.714,14.286,0,71.429,28.571,0,0,57.143,28.571,0,14.286,1,0.053817865
India,24,62,0.75,75,12.5,4.167,87.5,8.333,4.167,12.5,70.833,8.333,4.167,4.167,1,0.035243953
India,29,85,0.655,62.069,31.034,3.448,82.759,17.241,0,24.138,48.276,13.793,3.448,10.345,1,0.080303761
India,20,37,0.6,55,35,0,70,30,0,30,30,25,0,5,1,0.073188535
India,6,45,0.667,66.667,16.667,16.667,50,50,0,33.333,16.667,50,0,0,1,0.010249302
India,13,35,0.692,46.154,30.769,7.692,84.615,15.385,0,46.154,30.769,15.385,0,7.692,1,0.032735259
India,25,94,0.52,68,8,12,76,24,0,20,48,24,0,8,1,0.090010848
India,29,58,0.759,58.621,41.379,0,68.966,31.034,0,41.379,24.138,27.586,0,3.448,1,0.031212822
India,7,10,0.857,57.143,28.571,0,71.429,28.571,0,28.571,28.571,14.286,14.286,14.286,-1,-0.005142499
India,21,85,0.429,80.952,9.524,9.524,85.714,14.286,0,9.524,61.905,14.286,0,14.286,1,0.06687128
India,46,156,0.609,76.087,13.043,6.522,95.652,4.348,0,19.565,54.348,4.348,0,17.391,1,0.02482732
India,27,74,0.593,74.074,18.519,7.407,85.185,14.815,0,18.519,66.667,14.815,0,0,1,0.08514854
India,12,30,0.75,50,50,0,50,50,0,33.333,16.667,33.333,16.667,0,-1,-0.028510817
India,10,43,0.6,70,10,10,70,30,0,10,50,30,0,10,1,0.102467174
India,35,102,0.686,74.286,20,0,74.286,25.714,0,22.857,40,25.714,0,11.429,1,0.094720613
India,36,106,0.444,77.778,13.889,5.556,55.556,44.444,0,13.889,41.667,38.889,2.778,0,1,0.102825924
India,7,14,0.714,71.429,28.571,0,85.714,0,14.286,42.857,42.857,14.286,0,0,-1,-0.057319939
India,68,153,0.529,76.471,5.882,13.235,82.353,16.176,1.471,14.706,54.412,14.706,1.471,13.235,1,0.03183453
India,67,143,0.522,73.134,11.94,13.433,88.06,11.94,0,19.403,59.701,10.448,0,8.955,1,0.053078003
India,29,42,0.828,68.966,24.138,6.897,86.207,13.793,0,31.034,51.724,13.793,0,3.448,1,0.073637338
India,19,45,0.526,63.158,26.316,5.263,73.684,26.316,0,26.316,31.579,21.053,5.263,10.526,1,0.079849793
India,30,80,0.567,80,3.333,10,96.667,3.333,0,23.333,66.667,3.333,0,6.667,1,0.037152944
India,55,146,0.509,67.273,21.818,7.273,89.091,10.909,0,36.364,49.091,10.909,0,3.636,1,0.065151097
India,34,88,0.618,67.647,8.824,11.765,88.235,11.765,0,17.647,55.882,11.765,0,14.706,1,0.065752401
India,9,17,0.778,22.222,55.556,11.111,100,0,0,55.556,22.222,0,0,11.111,-1,-0.133945808
India,33,99,0.485,63.636,27.273,9.091,78.788,21.212,0,39.394,39.394,18.182,3.03,0,1,0.070375605
India,58,169,0.638,81.034,10.345,3.448,82.759,17.241,0,15.517,62.069,13.793,3.448,5.172,1,0.064816425
India,36,126,0.667,80.556,13.889,2.778,50,47.222,2.778,8.333,38.889,41.667,8.333,2.778,1,0.100083507
India,19,41,0.737,68.421,0,15.789,84.211,15.789,0,5.263,68.421,15.789,0,10.526,1,0.030871632
India,18,33,0.5,55.556,22.222,11.111,66.667,33.333,0,22.222,27.778,27.778,5.556,16.667,1,0.042650658
India,36,83,0.528,77.778,13.889,8.333,86.111,13.889,0,16.667,69.444,13.889,0,0,1,0.07296912
India,15,17,0.933,80,13.333,6.667,66.667,33.333,0,20,46.667,33.333,0,0,1,0.064768243
India,6,13,0.5,83.333,16.667,0,66.667,33.333,0,16.667,50,33.333,0,0,1,0.084702002
India,18,28,0.778,77.778,11.111,0,55.556,38.889,5.556,16.667,33.333,38.889,5.556,5.556,1,0.071645791
India,23,63,0.435,82.609,13.043,0,69.565,30.435,0,17.391,52.174,30.435,0,0,1,0.103597149
India,30,66,0.667,66.667,23.333,0,53.333,43.333,3.333,20,30,40,3.333,3.333,1,0.080243502
India,8,10,0.75,75,25,0,87.5,12.5,0,25,62.5,12.5,0,0,1,0.060653505
India,26,108,0.462,76.923,7.692,0,76.923,23.077,0,19.231,50,23.077,0,0,1,0.106599011
India,44,122,0.568,65.909,11.364,13.636,84.091,15.909,0,20.455,59.091,13.636,2.273,4.545,1,0.076407469
India,38,64,0.658,68.421,18.421,2.632,63.158,34.211,2.632,23.684,31.579,31.579,0,5.263,1,0.077694061
India,7,14,0.714,57.143,42.857,0,85.714,14.286,0,42.857,42.857,14.286,0,0,1,0.029154014
India,21,77,0.571,61.905,19.048,9.524,76.19,14.286,9.524,23.81,47.619,23.81,0,4.762,1,0.032384099
India,31,63,0.677,61.29,32.258,3.226,80.645,19.355,0,29.032,41.935,16.129,3.226,9.677,1,0.084436853
India,35,80,0.543,80,14.286,2.857,80,20,0,20,45.714,17.143,2.857,2.857,1,0.107345853
India,10,24,0.7,60,30,10,100,0,0,50,30,0,0,0,-1,-0.03246628
India,35,62,0.629,60,20,14.286,94.286,5.714,0,20,62.857,5.714,0,8.571,1,0.027897581
India,47,121,0.638,63.83,21.277,8.511,85.106,14.894,0,25.532,48.936,12.766,0,12.766,1,0.070030531
India,37,106,0.73,70.27,21.622,2.703,72.973,24.324,2.703,24.324,51.351,21.622,2.703,0,1,0.077861741
India,10,32,0.6,90,10,0,90,10,0,20,60,10,0,10,1,0.048065566
India,19,26,0.789,57.895,10.526,21.053,89.474,5.263,5.263,21.053,47.368,5.263,0,26.316,-1,-0.058801522
India,45,150,0.556,55.556,20,13.333,75.556,17.778,6.667,20,48.889,20,2.222,6.667,1,0.014724077
India,26,38,0.692,84.615,11.538,3.846,84.615,11.538,3.846,19.231,61.538,15.385,0,3.846,1,0.046386134
India,4,18,0.25,75,25,0,75,25,0,25,50,25,0,0,1,0.060481033
India,15,26,0.6,93.333,6.667,0,93.333,6.667,0,6.667,80,6.667,0,0,1,0.018755658
India,51,206,0.51,64.706,25.49,7.843,90.196,9.804,0,37.255,50.98,9.804,0,1.961,1,0.033414346
India,32,71,0.656,78.125,18.75,0,75,18.75,6.25,21.875,50,18.75,6.25,3.125,1,0.064830149
India,11,26,0.545,63.636,36.364,0,90.909,9.091,0,36.364,36.364,9.091,0,0,1,0.067374651
India,19,22,0.842,63.158,15.789,10.526,78.947,21.053,0,21.053,57.895,15.789,0,0,1,0.056574489
India,37,65,0.676,67.568,24.324,5.405,72.973,27.027,0,18.919,45.946,21.622,2.703,8.108,1,0.101817686
India,24,83,0.458,70.833,0,16.667,62.5,37.5,0,0,58.333,37.5,0,4.167,1,0.06196434
India,13,47,0.538,46.154,53.846,0,92.308,7.692,0,61.538,30.769,7.692,0,0,-1,-0.037533487
India,31,85,0.645,77.419,12.903,3.226,70.968,25.806,3.226,9.677,58.065,25.806,3.226,3.226,1,0.103370387
India,38,84,0.684,84.211,10.526,2.632,73.684,26.316,0,7.895,63.158,18.421,7.895,2.632,1,0.089471274
India,20,43,0.7,65,30,0,65,30,5,25,35,30,5,5,1,0.071635018
India,4,4,1,75,0,25,100,0,0,0,75,0,0,0,-1,-0.079535001
India,32,71,0.563,84.375,6.25,3.125,81.25,18.75,0,46.875,34.375,18.75,0,0,1,0.048694311
India,44,103,0.636,75,18.182,0,81.818,15.909,2.273,34.091,50,6.818,9.091,0,1,0.046513045
India,27,45,0.63,59.259,29.63,0,81.481,18.519,0,37.037,44.444,11.111,3.704,3.704,1,0.07117637
India,9,39,0.556,66.667,33.333,0,66.667,33.333,0,44.444,22.222,33.333,0,0,1,0.049559255
India,19,36,0.632,63.158,26.316,0,73.684,21.053,5.263,31.579,36.842,26.316,0,5.263,1,0.044256238
India,39,94,0.667,82.051,12.821,2.564,71.795,28.205,0,15.385,51.282,28.205,0,5.128,1,0.117764226
India,31,70,0.613,74.194,16.129,6.452,83.871,16.129,0,19.355,64.516,16.129,0,0,1,0.091261887
India,11,11,1,63.636,36.364,0,81.818,18.182,0,45.455,27.273,18.182,0,9.091,1,0.010140434
India,18,38,0.5,61.111,33.333,0,77.778,22.222,0,33.333,38.889,22.222,0,5.556,1,0.081771199
India,44,116,0.523,77.273,15.909,4.545,93.182,6.818,0,38.636,50,4.545,0,4.545,1,0.047887394
India,34,115,0.647,70.588,17.647,5.882,73.529,26.471,0,26.471,44.118,26.471,0,2.941,1,0.105524037
India,8,23,0.375,75,12.5,12.5,100,0,0,25,75,0,0,0,-1,-0.013367597
India,21,49,0.619,80.952,9.524,4.762,80.952,14.286,4.762,19.048,61.905,19.048,0,0,1,0.060935922
India,38,110,0.684,63.158,21.053,13.158,73.684,26.316,0,15.789,57.895,13.158,10.526,0,1,0.065702504
India,31,65,0.516,70.968,16.129,0,74.194,25.806,0,16.129,51.613,25.806,0,6.452,1,0.108122828
India,11,31,0.455,54.545,45.455,0,100,0,0,54.545,45.455,0,0,0,-1,-0.064722201
India,16,45,0.813,37.5,56.25,0,81.25,18.75,0,43.75,37.5,0,12.5,0,-1,-0.065238871
India,40,86,0.65,57.5,17.5,20,75,20,5,10,60,15,7.5,5,1,0.013392418
India,20,49,0.5,60,20,5,65,35,0,25,30,30,5,10,1,0.081991911
India,11,31,0.727,81.818,18.182,0,81.818,18.182,0,9.091,54.545,9.091,9.091,0,1,0.055894504
India,27,73,0.667,85.185,11.111,3.704,70.37,25.926,3.704,11.111,59.259,29.63,0,0,1,0.081695259
India,38,110,0.579,71.053,26.316,0,94.737,5.263,0,23.684,65.789,5.263,0,5.263,1,0.052619701
India,31,71,0.613,58.065,29.032,6.452,70.968,29.032,0,25.806,38.71,22.581,6.452,6.452,1,0.091753483
India,7,26,0.571,71.429,28.571,0,100,0,0,28.571,71.429,0,0,0,1,0.010448488
India,18,42,0.5,66.667,27.778,0,61.111,38.889,0,22.222,38.889,27.778,11.111,0,1,0.082526033
India,35,109,0.6,85.714,5.714,8.571,85.714,14.286,0,8.571,68.571,14.286,0,8.571,1,0.067696439
India,27,101,0.556,81.481,7.407,3.704,62.963,37.037,0,7.407,48.148,37.037,0,7.407,1,0.124379671
India,9,27,0.778,88.889,11.111,0,44.444,55.556,0,0,44.444,44.444,11.111,0,1,0.064698517
India,24,53,0.792,62.5,33.333,4.167,95.833,4.167,0,41.667,50,4.167,0,4.167,1,0.012678596
India,47,126,0.66,76.596,12.766,6.383,80.851,19.149,0,21.277,57.447,19.149,0,2.128,1,0.094238677
India,27,70,0.556,88.889,0,0,77.778,22.222,0,3.704,66.667,18.519,0,7.407,1,0.086431748
India,7,8,0.857,71.429,28.571,0,85.714,14.286,0,28.571,42.857,14.286,0,0,1,0.0494145
India,32,132,0.594,81.25,9.375,6.25,87.5,12.5,0,18.75,59.375,12.5,0,9.375,1,0.085623782
India,50,128,0.7,70,12,8,88,12,0,16,60,8,2,10,1,0.060474024
India,34,111,0.647,76.471,11.765,8.824,88.235,11.765,0,17.647,67.647,11.765,0,0,1,0.069495233
India,12,27,0.583,75,8.333,8.333,58.333,33.333,8.333,16.667,41.667,25,8.333,0,1,0.049730203
India,34,114,0.529,82.353,5.882,5.882,79.412,17.647,2.941,8.824,58.824,17.647,2.941,8.824,1,0.079150651
India,48,128,0.5,58.333,18.75,16.667,77.083,22.917,0,12.5,62.5,14.583,4.167,2.083,1,0.029046707
India,37,114,0.514,75.676,18.919,2.703,67.568,27.027,5.405,16.216,40.541,21.622,10.811,2.703,1,0.071695588
India,10,35,0.4,60,10,10,60,40,0,20,30,30,0,10,1,0.060736775
India,18,77,0.556,55.556,11.111,27.778,88.889,11.111,0,16.667,61.111,11.111,0,11.111,1,0.004218669
India,49,138,0.51,75.51,16.327,6.122,73.469,26.531,0,24.49,48.98,24.49,2.041,0,1,0.086442567
India,36,77,0.611,69.444,16.667,2.778,77.778,22.222,0,11.111,58.333,19.444,0,8.333,1,0.105257792
India,4,4,1,50,25,25,75,25,0,25,25,25,0,25,-1,-0.077367516
India,25,112,0.44,60,16,16,88,12,0,32,36,8,4,20,1,0.000155896
India,45,124,0.578,75.556,17.778,4.444,95.556,4.444,0,31.111,62.222,4.444,0,0,1,0.047166218
India,16,42,0.438,68.75,6.25,6.25,56.25,43.75,0,6.25,50,37.5,0,0,1,0.102241846
India,7,14,0.571,85.714,0,0,71.429,28.571,0,0,71.429,28.571,0,0,1,0.062387084
India,27,92,0.556,70.37,22.222,3.704,77.778,22.222,0,25.926,44.444,22.222,0,7.407,1,0.100157229
India,44,171,0.682,79.545,11.364,4.545,84.091,15.909,0,18.182,63.636,15.909,0,2.273,1,0.066887106
India,33,130,0.606,54.545,21.212,12.121,84.848,15.152,0,18.182,45.455,12.121,3.03,18.182,1,0.04951812
India,14,23,0.643,64.286,7.143,14.286,64.286,35.714,0,21.429,42.857,28.571,7.143,0,1,0.064648323
India,23,60,0.696,78.261,8.696,4.348,65.217,30.435,4.348,13.043,43.478,30.435,4.348,8.696,1,0.102132916
India,35,81,0.629,74.286,8.571,8.571,74.286,20,5.714,8.571,60,25.714,0,5.714,1,0.080373604
India,24,101,0.417,75,20.833,0,75,25,0,16.667,58.333,16.667,4.167,4.167,1,0.088402063
India,12,27,0.333,58.333,33.333,8.333,58.333,41.667,0,33.333,16.667,41.667,0,8.333,1,0.0311964
India,13,71,0.615,61.538,15.385,0,69.231,23.077,7.692,15.385,38.462,23.077,7.692,15.385,1,0.013433268
India,34,54,0.676,76.471,23.529,0,85.294,14.706,0,29.412,44.118,14.706,0,8.824,1,0.082091839
India,33,97,0.545,81.818,12.121,3.03,84.848,15.152,0,18.182,66.667,15.152,0,0,1,0.087024693
India,11,18,0.636,81.818,9.091,9.091,72.727,27.273,0,9.091,63.636,27.273,0,0,1,0.083244087
India,34,193,0.588,76.471,5.882,8.824,91.176,8.824,0,11.765,61.765,5.882,2.941,11.765,1,0.028924123
India,56,188,0.571,71.429,16.071,7.143,87.5,10.714,1.786,19.643,53.571,10.714,1.786,12.5,1,0.026381835
India,45,89,0.667,68.889,11.111,8.889,77.778,22.222,0,11.111,62.222,17.778,0,4.444,1,0.102643154
India,6,23,0.333,33.333,33.333,16.667,66.667,16.667,16.667,33.333,33.333,16.667,16.667,0,-1,-0.133424857
India,18,51,0.722,55.556,11.111,16.667,72.222,27.778,0,16.667,44.444,22.222,0,11.111,1,0.043439949
India,47,205,0.532,72.34,6.383,17.021,78.723,21.277,0,10.638,59.574,21.277,0,6.383,1,0.027150755
India,31,76,0.645,87.097,9.677,0,61.29,35.484,3.226,12.903,48.387,38.71,0,0,1,0.08390464
India,7,23,0.714,57.143,28.571,14.286,71.429,28.571,0,28.571,14.286,28.571,0,14.286,-1,-0.004090374
India,20,45,0.6,90,10,0,75,25,0,10,60,15,10,5,1,0.063453421
India,38,153,0.605,73.684,10.526,7.895,76.316,21.053,2.632,21.053,52.632,21.053,0,2.632,1,0.070284898
India,28,138,0.5,75,10.714,7.143,60.714,32.143,7.143,3.571,57.143,25,10.714,3.571,1,0.046504428
India,9,21,0.556,88.889,11.111,0,66.667,33.333,0,11.111,55.556,33.333,0,0,1,0.080339158
India,26,75,0.423,69.231,19.231,3.846,80.769,19.231,0,38.462,38.462,19.231,0,3.846,1,0.079719728
India,32,40,0.875,62.5,25,9.375,87.5,12.5,0,21.875,40.625,9.375,0,21.875,1,0.016408254
India,27,42,0.778,74.074,18.519,7.407,81.481,18.519,0,22.222,48.148,18.519,0,11.111,1,0.081077819
India,7,12,0.714,85.714,0,0,85.714,14.286,0,0,85.714,14.286,0,0,1,0.026886335
India,20,56,0.75,70,20,10,75,25,0,15,55,15,5,5,1,0.078924033
India,26,76,0.385,69.231,11.538,15.385,76.923,23.077,0,11.538,61.538,19.231,0,3.846,1,0.063318703
India,22,69,0.5,86.364,13.636,0,54.545,45.455,0,13.636,31.818,40.909,4.545,9.091,1,0.083946546
India,11,37,0.727,63.636,18.182,9.091,81.818,18.182,0,18.182,36.364,18.182,0,27.273,1,0.022793743
India,26,81,0.692,65.385,19.231,3.846,69.231,26.923,3.846,19.231,42.308,26.923,3.846,7.692,1,0.085195286
India,33,116,0.485,78.788,9.091,0,69.697,27.273,3.03,9.091,42.424,21.212,6.061,18.182,1,0.070395815
India,28,102,0.607,57.143,32.143,0,82.143,17.857,0,35.714,39.286,10.714,7.143,7.143,1,0.069240971
India,5,6,0.8,40,60,0,100,0,0,60,40,0,0,0,-1,-0.097515081
